Id,ImageId,Malignant,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29
0,IM_000498,0,18.183393186450544,35.715287888101635,0.16109153059727055,-0.004658750567357095,0.06346396342009207,27.0,23.0,11.0,0.7990049464382405,18.388558138533615,208.76672265988603,175.98391845795214,148.7790782557253,16.523261845116,31.48138611087723,40.87987112119491,123.0,56.0,35.0,255.0,243.0,232.0,2.183708978627425,39.756635752805416,16.523380741805187,0.3718349177690243,0.5996294750644829,0.5230510234830903,0.2468975177266587,0.20071931600475504
1,IM_000617,0,26.113225281219787,30.16957841953609,0.17046305659400346,-0.035660063499935724,0.04795467503593853,25.0,16.0,7.0,0.4748916885071354,18.251935823087933,179.51271409604243,107.5679887980977,71.30930432780701,17.456371436010418,28.048765626442105,27.830599385193853,120.0,46.0,25.0,234.0,205.0,201.0,1.789083526325897,30.21391400174961,17.456371436010418,0.1290853757218996,0.3095279370737857,0.1947747913088761,0.1386693329857918,0.1310580447747264
2,IM_000394,0,21.629792796586198,47.41162589005712,0.06463167826392607,-0.017699592053674218,0.011695742123057018,54.0,44.0,18.0,0.4805208212511682,18.257176098920656,197.13558117622014,128.2589913193738,104.76071460993528,17.808854339260364,25.80595883136053,26.924156649449397,116.0,41.0,16.0,255.0,231.0,211.0,2.591678641436005,24.295409714402556,17.808854339260364,0.12840102594091954,0.3406974155353084,0.7139651057346135,0.7351002027282418,0.8424813175927476
3,IM_000244,0,14.75354990487564,49.584792186298046,0.1671329775250852,0.005986267106934118,0.04870741523661348,53.0,45.0,16.0,0.8275313230542102,18.058554419819306,143.6456352975625,115.28272187743265,102.72958341962992,18.81755645780219,29.601075172601323,40.788553376685684,39.0,23.0,13.0,177.0,174.0,185.0,16.678173919777333,46.49180933913357,19.420675086110336,0.1936214322459141,0.4475594118890481,0.3603756241962119,0.34888864786677426,0.3322800180747269
4,IM_000599,0,6.095157910405412,53.635141955395746,0.17437238962929436,-0.01385125786768704,0.05566702852413485,51.0,46.0,10.0,0.8769011023637066,18.625079473223987,167.11428758249303,142.64988860813884,115.5137686879113,28.78707577252799,41.927698747858614,43.295258821894514,28.0,19.0,13.0,227.0,236.0,225.0,8.213177626730241,42.5383382128261,29.19055279226325,0.15808341928648395,0.4253754179270534,0.6827947925641559,0.43335576354654737,0.3763759107725695
5,IM_000639,0,21.348208048138183,21.36439644563664,-0.019053417332086653,-0.004395478907339157,-0.0043687749672401965,189.0,270.0,166.0,0.6844691470503019,19.42630362055018,203.841771336193,165.24713588873604,149.6853512161091,11.54033439392322,15.57402676551264,15.519300875700136,140.0,108.0,89.0,235.0,230.0,217.0,2.656807071242602,11.642359580184715,11.54032055233457,0.32431144054828803,1.1331205532574211,0.8345831622911674,0.8145423729653596,0.7521839127822574
6,IM_000279,0,19.854507705955967,22.89637184231209,0.1161322958767046,-0.023082913078710188,0.04182453267780195,192.0,93.0,61.0,0.6321802778080938,20.15340635886086,195.58995607316058,128.77346615771344,87.15567113270306,11.213402566853722,21.841203987090424,24.72591077607159,94.0,30.0,16.0,254.0,235.0,222.0,1.3513657947648336,26.746471649050946,11.213402566853722,0.19027076814422594,0.2619488319673383,0.3518894618342553,0.2966053006735465,0.2870980631155913
7,IM_000834,0,14.978846157164028,27.81617265273664,0.18232843830015136,-0.024753607567913397,0.05016968660503385,95.0,73.0,26.0,0.905449772499816,18.03891348517575,198.3974357652316,148.85114720288738,130.32501847555213,30.528035335333254,40.4654495990826,40.706482081284825,63.0,20.0,9.0,255.0,255.0,255.0,3.5696893523202844,30.107104355726317,30.53465036993657,0.2200852724422668,0.8127983888156738,0.5472981849848889,0.4380618115828596,0.42609210663191865
8,IM_000483,1,18.041949821841825,33.23347169672703,0.04051245685871846,-0.00988162165134887,0.01028971093812514,35.0,40.0,26.0,0.4476687294186986,17.02492887332556,175.2973585524599,120.82696766593851,78.6847261259515,9.666728395760993,15.601236527348332,18.340668435968052,104.0,28.0,0.0,213.0,173.0,152.0,1.0675791434595987,22.710428184269286,9.666728395760993,0.12079374428960847,0.43939215984968816,0.6903362960239718,0.6543915430782858,0.7669923385299572
9,IM_000577,0,18.836096748751206,27.562229427745162,0.07754252739692624,-0.015090018688513672,0.013807815199940563,25.0,31.0,8.0,0.7408476664028192,16.778963721779302,138.76267525846194,60.94541318510126,53.20661910494264,18.43521721674817,18.525966812893557,18.293309230507518,54.0,23.0,13.0,190.0,142.0,142.0,1.9083834947493357,23.784615347011474,18.43521721674817,0.1875266381754552,0.3205653175372005,0.647603883041454,0.5797538483993143,0.5718432063349108
10,IM_000263,0,10.972226516081038,47.631710898779794,0.3189767301487125,-0.002184313150383144,0.049752987514548486,12.0,6.0,10.0,0.6248052012147409,18.598352177695254,130.28481509484848,98.04193655578942,91.03320539184288,39.96452750754458,45.2309733517408,51.50134773730559,18.0,15.0,14.0,193.0,179.0,192.0,11.734423551981884,46.906612389811116,40.105331968420074,0.10894163160819142,0.2278917533349606,0.13693398288900546,0.13155142414529858,0.1382735439139623
11,IM_000452,1,21.362238524581926,41.022011732733,0.1584765095639219,-0.014350738682110398,0.02492457231574829,38.0,17.0,49.0,0.5799673208725027,19.58566326904921,150.69369497588218,110.2457620384438,131.31370107204742,49.30469205575695,48.68605392261698,53.572632048459,14.0,6.0,3.0,227.0,203.0,221.0,10.366128251812343,38.06797861103982,48.73443879188372,0.3623686513208989,1.3254519761807693,0.6115402366176352,0.6349788562046026,0.6455953717100411
12,IM_000281,0,23.37875760150835,28.67676328438272,0.09027387813840254,-0.02008531845307726,0.044766502906737005,99.0,56.0,22.0,0.8314477542338888,18.14642811229327,199.45181548833256,172.51452323784937,162.09360348851985,10.516075744651467,21.001730113808552,23.62700059719801,122.0,72.0,42.0,254.0,255.0,243.0,8.33421024782382,22.826798875145286,10.554913409444504,0.26831490812642284,0.5775360132379299,0.8239568735447728,0.4105641506991376,0.4700076937007501
13,IM_000832,0,28.11114169495673,36.825794415389794,0.09207118968973688,-0.027989738641547968,0.013994191078597451,11.0,7.0,7.0,0.5287446003027375,14.934659747207801,198.23881779016725,127.01821464774456,43.30644956918398,17.3059168788594,21.668870079391198,14.130390514843992,121.0,68.0,0.0,251.0,189.0,114.0,1.6087308977450154,14.269639037539827,17.3059168788594,0.11525115971159218,0.4602746957457948,0.4322508095975421,0.3826529435757909,0.4633997386670894
14,IM_000765,0,29.67142975060433,30.67606862802901,0.1087177562209608,-0.007856653131637026,0.045514340871876224,39.0,22.0,39.0,0.5675079770417062,18.67259080641917,181.2996018784144,127.76135664309182,101.04646803192549,7.587241447825352,17.68910731810689,27.586904891761236,136.0,63.0,18.0,226.0,186.0,174.0,1.7382729251848112,33.929125133869235,7.587241447825352,0.11438496979308024,0.34486267118801817,0.3829006966370859,0.21860450610880167,0.20832190286002744
15,IM_000165,0,10.09192783636692,28.12839332922948,0.15589913695767627,-0.017237348974823874,0.06012014633188245,95.0,87.0,53.0,0.7725256748348882,21.359632996355547,154.8823636717684,100.39034020617814,75.74350291401572,21.277462375642536,35.603238372041844,42.58729853662153,44.0,1.0,0.0,195.0,177.0,179.0,4.213967252585707,55.22685375459199,21.277462375642536,0.3668805698899792,0.9859815402195627,0.6667767345852641,0.5374229836756126,0.4224608329946304
16,IM_000611,0,25.150555021491872,37.58113335619639,0.06187994349813775,-0.009497249828566534,0.03108292771385468,57.0,64.0,27.0,0.4196411022403315,19.089995320270152,178.58024636630097,153.54346696645308,152.79914426099862,5.324566168486248,14.927828613089671,18.036246623330523,107.0,69.0,74.0,202.0,187.0,192.0,6.702052411419961,19.491777090669263,5.330521158906178,0.4285034854832752,0.6313285649158493,0.7741185421529204,0.4226441064485604,0.4683434790539034
17,IM_000894,1,22.00089989693041,33.16448755578576,0.09775543452434343,-0.018315440710136854,0.03348280144592008,29.0,17.0,8.0,0.5376908218130572,16.511801040960506,170.7766853192543,121.65971146449158,117.50170191689587,16.73448608876715,24.450733160156393,24.313559556068622,34.0,0.0,0.0,212.0,182.0,171.0,2.758409299547968,25.019890457808625,16.73448608876715,0.1613382581796107,0.6093784649734441,0.6377327902760755,0.5009931336031997,0.4795427943109086
18,IM_000692,0,22.81602246035386,35.15095414807711,0.18422460367004545,-0.02561235008733359,0.019702421466306186,12.0,9.0,4.0,0.4639794141309802,15.067319748595526,183.4786693536942,120.08779200136244,94.02069200420084,30.755619667408123,33.296519514558376,27.87028627947318,59.0,13.0,12.0,255.0,231.0,215.0,3.562816735848988,21.055110202277405,30.755619667408123,0.08921229948746091,0.2638432982613641,0.2621674357381848,0.2489969875601024,0.2884698846360323
19,IM_000408,0,17.258921806041375,35.53348054815873,0.04498242842303524,-0.0030128971589018505,0.02094892764205536,68.0,68.0,55.0,0.9146247332537412,18.281417001080467,187.96854363705785,141.65321636694813,112.94864829338823,3.2134467353890415,8.272309552788682,12.918923250102713,165.0,101.0,57.0,229.0,209.0,200.0,0.8504920533645923,15.63418002653451,3.2134467353890415,0.22944857227584,0.5071160587356216,0.8818532437725863,0.28778946164910235,0.2847796712609368
20,IM_000663,0,30.597804956612848,33.388995212062554,0.1185035242815789,-0.02065458035987333,0.040741165536496426,200.0,101.0,48.0,0.6924761517035017,19.298542286042146,172.81407271451812,130.46814355432724,113.07702786059423,19.113037564672037,29.03193071907673,31.22020609985175,61.0,19.0,2.0,255.0,250.0,238.0,5.0140002269909285,32.5910434530064,19.08681003023016,0.10714708516189192,0.2108271942718865,0.5404698076959066,0.4273420403181912,0.4645602926201597
21,IM_000209,1,21.424688017210293,37.196959843677284,0.15985784138765866,-0.03722591965021976,0.031029797727187506,17.0,6.0,27.0,0.5764838348555643,17.1228607735035,218.60901500838645,152.07281592747088,114.11489802153677,37.62716243139358,53.5317105703366,54.528431396384846,81.0,26.0,0.0,255.0,255.0,255.0,6.930194812311663,48.66775122677214,37.62937351399329,0.31180707570603544,0.5007082067786119,0.5345727442882519,0.6184785702623252,0.6844389374019879
22,IM_000740,0,14.844880615569274,26.895645790466393,0.1361630614508902,-0.006012936448605788,0.045469181231794435,25.0,12.0,11.0,0.6003230061835132,17.45080691772843,183.43506447900853,148.33345939200103,121.20084387273836,15.317921851720095,27.63374006541467,35.908018996829796,104.0,47.0,22.0,238.0,201.0,188.0,1.7660261142903888,37.995964516080754,15.317921851720095,0.3859853303993517,0.4818563458468421,0.4135615867665571,0.3770222349401965,0.3647780106299303
23,IM_000142,0,11.064470092288326,11.946302977963507,0.1621781540618923,-0.029836608345340188,0.04381753717974002,15.0,7.0,4.0,0.5556702659033529,17.01376725996064,143.01434012498612,89.65102984136375,56.8587804607477,24.525990370114197,36.99517438647803,35.9744902585342,67.0,22.0,12.0,184.0,160.0,147.0,3.1370075649375315,46.80869368578194,24.525990370114197,0.2550421256543649,1.1197273703405846,0.5621759059208514,0.5335775338430289,0.4774714145906586
24,IM_000482,0,26.65984967393045,33.950994871811545,0.11513738873336588,-0.026982397993206564,0.047284880706881305,402.0,275.0,57.0,0.7212682835068208,20.20141239688436,184.5252258624989,120.9149285210183,92.53762364779956,13.471464910656275,25.093622405491548,29.824781861077682,95.0,24.0,0.0,255.0,253.0,255.0,1.9823379637731795,33.139326074975386,13.471524744907004,0.4037673618622168,0.4371486078026161,0.6122262481456592,0.4186429209262721,0.4821224498360518
25,IM_000543,0,13.637602763570149,24.971123548366943,0.2094237303486116,-0.015543837553483375,0.035022033567240096,7.0,4.0,12.0,0.6891085776721412,16.726595808684767,141.44462581843763,103.76841146443968,89.84793744701574,26.658730746682714,32.75681692431967,32.90573349837681,45.0,23.0,16.0,185.0,164.0,162.0,2.3689613156665086,31.88983417264877,26.658730746682714,0.34712485590443537,0.3552671443632732,0.16025572326640602,0.13979598552067746,0.1357130665888549
26,IM_000269,0,26.55987962337207,35.1626672391628,0.12051859025871135,-0.01720922387210344,0.04362302758038883,102.0,120.0,69.0,0.7086182675485135,19.56487976405738,164.90483382914994,109.68155944951599,84.02782015889944,11.56036242996054,21.075428484536282,27.0692370392176,76.0,13.0,0.0,255.0,231.0,220.0,1.1052118956622536,34.411402020668035,11.56036242996054,0.10458171931901944,0.11425261179117845,0.35179243445034897,0.2696214603247118,0.2752742559542604
27,IM_000028,0,15.43427319211103,43.91775018261505,0.10801851513757173,-0.01733053937051571,0.031717982738263206,15.0,9.0,3.0,0.3837318490208915,15.005882101396784,206.31708335819562,138.57142430932637,119.24097499850826,13.487085930793993,22.497771574647864,24.58621623812744,150.0,77.0,51.0,239.0,205.0,193.0,1.4595834667592946,21.52475132765398,13.487085930793993,0.19922611210825686,0.34822470352132023,0.3916795467747765,0.3578629002542961,0.3787595472728556
28,IM_000231,0,18.52905759767114,39.37206755539126,0.1664470325108683,-0.025315497822846256,0.022237114917536327,27.0,22.0,8.0,0.35767548332965216,16.67885707144931,163.44129929959922,109.57367317127981,84.90123225588972,23.63432312726095,29.26053574062873,26.306337136027093,87.0,33.0,16.0,234.0,194.0,169.0,2.7537890651393577,24.68247021542126,23.63432312726095,0.15203332610148745,0.5033958900442739,0.30148897183593154,0.2984064150652363,0.3747898225970583
